Ir,アイアール
金儲け,カネモウケ
金鑢,カネヤスリ
庚戌,カノエイヌ
庚午,カノエウマ
庚申,カノエサル
庚辰,カノエタツ
庚寅,カノエトラ
辛酉,カノトトリ
カノニカル,カノニカル
庇い立て,カバイダテ
樺桜,カバザクラ
カバチタレ,カバチタレ
樺斑,カバマダラ
カバーレッジ,カバレッジ
カバレッタ,カバレッタ
カヴァレリア,カバレリア
鞄店,カバンテン
鞄持ち,カバンモチ
カバーニャ,カバーニャ
黴臭,カビシュウ
黴汚れ,カビヨゴレ
カピタニア,カピタニア
カピトリオ,カピトリオ
カフエイン,カフェイン
カフヱ・オゥ・レェ,カフェオレ
過不及,カフキュウ
歌舞伎者,カブキモノ
冠木門,カブキモン
蕪御飯,カブゴハン
被せ網,カブセアミ
被せ茶,カブセチャ
被せ蓋,カブセブタ
被せ物,カブセモノ
兜梅,カブトウメ
兜蝦,カブトエビ
兜蟹,カブトガニ
冑首,カブトクビ
兜鉢,カブトバチ
兜花,カブトバナ
兜蓑,カブトミノ
甲虫,カブトムシ
兜割り,カブトワリ
株周り,カブマワリ
蕪鮨,カブラズシ
キャブリオレー,カブリオレ
被り笠,カブリガサ
齧り壁蝨,カブリダニ
かぶり付き,カブリツキ
被り物,カブリモノ
気触れ止め,カブレドメ
カプッチーノ,カプチーノ
カプッチョ,カプッチョ
カプレーゼ,カプレーゼ
壁洗い,カベアライ
カベオリン,カベオリン
壁鏡,カベカガミ
壁飾り,カベカザリ
壁繋ぎ,カベツナギ
壁造り,カベヅクリ
壁隣,カベドナリ
壁斜め,カベナナメ
壁柱,カベバシラ
カペンシス,カペンシス
カペーロス,カペーロス
カボション,カボション
カポタスト,カポタスト
鎌鼬,カマイタチ
鎌海豚,カマイルカ
釜がえり,カマガエリ
釜御飯,カマゴハン
かま騒ぎ,カマサワギ
噛ませ犬,カマセイヌ
カマゼパム,カマゼパム
カマチャリ,カマチャリ
窯作り,カマヅクリ
竃跡,カマドアト
竈馬,カマドウマ
竈神,カマドガミ
竈脇,カマドワキ
神遊び,カミアソビ
髪油,カミアブラ
髪洗い,カミアライ
噛み合わせ,カミアワセ
髪弄り,カミイジリ
神移,カミウツシ
紙選び,カミエラビ
紙送り,カミオクリ
紙押さえ,カミオサエ
紙御襁褓,カミオムツ
神降ろし,カミオロシ
紙女,カミオンナ
髪飾り,カミカザリ
髪形,カミカタチ
神馮り,カミガカリ
神隠し,カミガクシ
紙代わり,カミガワリ
噛み応え,カミゴタエ
髪触り,カミザワリ
紙芝居,カミシバイ
紙ジャケ,カミジャケ
紙相撲,カミズモウ
神頼み,カミダノミ
噛み潰し,カミツブシ
紙礫,カミツブテ
紙作り,カミヅクリ
紙包み,カミヅツミ
紙詰まり,カミヅマリ
神無月,カミナヅキ
紙幟,カミノボリ
神祓い,カミハライ
紙挟み,カミバサミ
紙襖,カミフスマ
紙吹雪,カミフブキ
髪袋,カミブクロ
紙衾,カミブスマ
神仏,カミホトケ
神祭り,カミマツリ
神詣で,カミモウデ
上屋敷,カミヤシキ
紙鑢,カミヤスリ
紙破り,カミヤブリ
髪量,カミリョウ
神渡り,カミワタリ
神女,カミンジョ
カムバック,カムバック
冠題,カムリダイ
冠付け,カムリヅケ
カムリード,カムリード
カムルチー,カムルチー
亀頭,カメアタマ
亀の甲,カメノコウ
瓶覗,カメノゾキ
カメラマン,カメラマン
カメラータ,カメラータ
カメラート,カメラート
カメルーン,カメルーン
カメレオン,カメレオン
鴨御飯,カモゴハン
鴨しゃぶ,カモシャブ
髢草,カモジグサ
鴨の嘴,カモノハシ
カモミール,カモミール
鴎蔓,カモメヅル
鷗どり,カモメドリ
鴨猟,カモリョウ
カモンガイ,カモンガイ
掃部宿,カモンヤド
茅潜り,カヤクグリ
カヤッカー,カヤッカー
萱鼠,カヤネズミ
粥食,カユショク
痒み止め,カユミドメ
通ひ穴,カヨイアナ
通い婚,カヨイコン
通い筒,カヨイヅツ
通い妻,カヨイヅマ
通箱,カヨイバコ
通い盆,カヨイボン
通い道,カヨイミチ
唐葵,カラアオイ
空嘔,カラエズキ
カラオーラ,カラオーラ
唐鏡,カラカガミ
韓鍛冶,カラカヌチ
カラギナン,カラギナン
空っ車,カラクルマ
カラクール,カラクール
空車,カラグルマ
カラゲナン,カラゲナン
韓衣,カラコロモ
漢意,カラゴコロ
空騒ぎ,カラサワギ
芥子和え,カラシアエ
辛子色,カラシイロ
芥種,カラシダネ
芥子泥,カラシデイ
カラディウム,カラジウム
烏瓜,カラスウリ
烏貝,カラスガイ
烏金,カラスガネ
烏口,カラスグチ
烏族,カラスゾク
烏鳴き,カラスナキ
鴉猫,カラスネコ
カラスネス,カラスネス
烏鴉兵,カラスヘイ
烏蛇,カラスヘビ
空滑り,カラスベリ
烏麦,カラスムギ
烏除け,カラスヨケ
軀つき,カラダツキ
空っ風,カラッカゼ
空っけつ,カラッケツ
からてんぼ,カラテンボ
唐錦,カラニシキ
空畑,カラバタケ
カラビニエ,カラビニエ
空吹かし,カラブカシ
空袋,カラブクロ
空回り,カラマワリ
カラマンル,カラマンル
絡み合い,カラミアイ
絡み酒,カラミザケ
絡み攻め,カラミゼメ
辛味ダレ,カラミダレ
カラミテス,カラミテス
絡み餅,カラミモチ
カラミンサ,カラミンサ
搦め縄,カラメナワ
韓婦,カラメノコ
カラリスト,カラリスト
唐渡り,カラワタリ
カランコエ,カランコエ
駆り集め,カリアツメ
仮押さえ,カリオサエ
刈り納め,カリオサメ
仮囲い,カリガコイ
カリガート,カリガート
仮釈,カリシャク
狩姿,カリスガタ
カリスタン,カリスタン
仮住まい,カリズマイ
カリニャン,カリニャン
仮入,カリニュウ
刈払,カリハライ
仮払い,カリバライ
Caribbean,カリビアン
仮結び,カリムスビ
借り戻し,カリモドシ
狩人,カリュウド
カリユタカ,カリユタカ
仮渡し,カリワタシ
カルキーノス,カルキノス
カルクッス,カルクッス
カルグラー,カルグラー
カルコゲン,カルコゲン
カルチウム,カルシウム
カルジェル,カルジェル
カルタップ,カルタップ
カルタミン,カルタミン
カルダモン,カルダモン
culture,カルチャー
クアルティエ,カルティエ
クワルテット,カルテット
カルトロン,カルトロン
カルナウバ,カルナウバ
カルナヴァール,カルナバル
カルニチン,カルニチン
軽市,カルノイチ
カルノシン,カルノシン
軽はずみ,カルハズミ
カルヴァドス,カルバドス
カルバミル,カルバミル
カルバミン,カルバミン
カルバリル,カルバリル
朅盤陀,カルバンダ
カルフール,カルフール
カルボキシ,カルボキシ
カルボコン,カルボコン
カルボナリー,カルボナリ
カルボニル,カルボニル
カルボヴェジ,カルボベジ
カルボール,カルボール
カルムイク,カルムイク
カルメ焼き,カルメヤキ
カルモチン,カルモチン
カルリスタ,カルリスタ
カルンケル,カルンケル
彼辺り,カレアタリ
鰈蝉,カレイゼミ
彼好み,カレゴノミ
枯れ薄,カレススキ
枯葎,カレムグラ
枯柳,カレヤナギ
currency,カレンシー
Calendar,カレンダー
カロネード,カロネード
カロリック,カロリック
カロリナエ,カロリナエ
カローサム,カローサム
河明り,カワアカリ
河遊び,カワアソビ
川穴子,カワアナゴ
韋威,カワオドシ
川鰍,カワカジカ
革鞄,カワカバン
川かます,カワカマス
川烏,カワガラス
乾き掛け,カワキカケ
渇き死に,カワキジニ
乾肌,カワキハダ
乾き物,カワキモノ
川下り,カワクダリ
皮衣,カワゴロモ
川晒し,カワサラシ
川境,カワザカイ
川魚,カワザカナ
川浚え,カワザラエ
川砂利,カワジャリ
革ジャン,カワジャン
皮畳,カワタタミ
河太郎,カワタロウ
川苣,カワヂシャ
革繋ぎ,カワツナギ
革使い,カワヅカイ
皮造り,カワヅクリ
川伝い,カワヅタイ
皮包み,カワヅツミ
川蜻蛉,カワトンボ
韋所,カワドコロ
川流れ,カワナガレ
川鼠,カワネズミ
川上り,カワノボリ
川柱,カワバシラ
皮離れ,カワバナレ
川雲雀,カワヒバリ
川開き,カワビラキ
川塞ぎ,カワフタギ
革袋,カワブクロ
川ほとり,カワホトリ
川参り,カワマイリ
川湊,カワミナト
川向かい,カワムカイ
河向こう,カワムコウ
川水雲,カワモズク
厠神,カワヤガミ
水楊,カワヤナギ
革鎧,カワヨロイ
河原石,カワライシ
瓦窯,カワラガマ
瓦桟,カワラザン
瓦茸,カワラタケ
河原鳩,カワラバト
瓦版,カワラバン
カワラヒワ,カワラヒワ
瓦葺き,カワラブキ
瓦屋根,カワラヤネ
瓦割り,カワラワリ
変わり糸,カワリイト
変わり粥,カワリガユ
変わり皿,カワリザラ
変わり寿司,カワリスシ
変わり種,カワリダネ
変わり玉,カワリダマ
変わり塗り,カワリヌリ
変わり映え,カワリバエ
代わり端,カワリバナ
代わり番,カワリバン
変わり雛,カワリビナ
変わり飯,カワリメシ
変わり者,カワリモノ
川猟,カワリョウ
川渡し,カワワタシ
川渡り,カワワタリ
革草鞋,カワワラジ
寒葵,カンアオイ
寒茜,カンアカネ
寒起こし,カンオコシ
棺隠し,カンカクシ
寒鴉,カンガラス
カンガルー,カンガルー
閑却,カンキャク
緩急,カンキュウ
韓僑,カンキョウ
寒極,カンキョク
歓謔,カンギャク
韓牛,カンギュウ
諫暁,カンギョウ
漢玉,カンギョク
官公吏,カンコウリ
寒桜,カンザクラ
燗冷まし,カンザマシ
寒晒し,カンザラシ
寒鰆,カンザワラ
官私線,カンシセン
緩釈,カンシャク
観衆,カンシュウ
間出,カンシュツ
関渉,カンショウ
韓食,カンショク
寒仕込み,カンジコミ
閑寂,カンジャク
間充,カンジュウ
慣熟,カンジュク
喚述,カンジュツ
閑情,カンジョウ
寒雀,カンスズメ
寒昴,カンスバル
カンズップ,カンズップ
観世音,カンゼオン
カンゼーヌ,カンゼーヌ
寒卵,カンタマゴ
カンタリス,カンタリス
カンタンテ,カンタンテ
カンタータ,カンタータ
カンターレ,カンターレ
上達部,カンダチメ
カンダハー,カンダハー
感違い,カンチガイ
還着,カンチャク
韓中,カンチュウ
館長,カンチョウ
かんちょろ,カンチョロ
寒椿,カンツバキ
神司,カンヅカサ
カンヂル,カンディル
カントゥカ,カントゥカ
Country,カントリー
勘所,カンドコロ
隨神,カンナガラ
鉋屑,カンナクズ
カンナビス,カンナビス
陥入,カンニュウ
環繞,カンニョウ
カンニング,カンニング
疳の虫,カンノムシ
神服部,カンハトリ
company,カンパニー
甘八涅拉,カンパネラ
看病,カンビョウ
神開き,カンビラキ
寒鮃,カンビラメ
間氷,カンピョウ
カンフェン,カンフェン
カンペスィーノ,カンペシノ
カンボディア,カンボジア
寒参り,カンマイリ
寒詣で,カンモウデ
勘略,カンリャク
韓流,カンリュウ
管領,カンリョウ
カークリゴ,カークリゴ
カージナルス,カージナル
カーティブ,カーティブ
カーディア,カーディア
カーディオ,カーディオ
カートンキ,カートンキ
カーニヴアル,カーニバル
カーニボー,カーニボー
カーヌーン,カーヌーン
カーネージ,カーネージ
カーバイド,カーバイド
カービング,カービング
カーペツト,カーペット
カーポート,カーポート
Carmine,カーマイン
カーミング,カーミング
カーリミー,カーリミー
カーリング,カーリング
外舅,ガイキュウ
概況,ガイキョウ
外曲,ガイキョク
鎧袖,ガイシュウ
外出,ガイシュツ
街娼,ガイショウ
外食,ガイショク
害獣,ガイジュウ
概述,ガイジュツ
外城,ガイジョウ
ガイダンス,ガイダンス
害虫,ガイチュウ
害鳥,ガイチョウ
概評,ガイヒョウ
該病,ガイビョウ
ガイヤルド,ガイヤルド
概略,ガイリャク
概量,ガイリョウ
外緑,ガイリョク
ガウシアン,ガウシアン
ガウジング,ガウジング
ガキンチョ,ガキンチョ
学行,ガクギョウ
楽習,ガクシュウ
楽章,ガクショウ
学食,ガクショク
学術,ガクジュツ
学情,ガクジョウ
楽長,ガクチョウ
学乳,ガクニュウ
学寮,ガクリョウ
学力,ガクリョク
崖崩れ,ガケクズレ
崖っ鼻,ガケッパナ
崖縁,ガケップチ
崖伝い,ガケヅタイ
ガシャポン,ガシャポン
ギャジット,ガジェット
ガジュマル,ガジュマル
ガスケット,ガスケット
ガストリン,ガストリン
ギャス・ハウス,ガスハウス
ガスパーチョ,ガスパチョ
ガスモチン,ガスモチン
ガチマヤー,ガチマヤー
楽弓,ガッキュウ
楽興,ガッキョウ
楽曲,ガッキョク
合衆,ガッシュウ
合宿,ガッシュク
合掌,ガッショウ
ガッジョン,ガッジョン
合評,ガッピョウ
月令,ガツリョウ
ガティート,ガティート
ガナッシュ,ガナッシュ
がなり声,ガナリゴエ
ガバガーイ,ガバガーイ
ガヴァナンス,ガバナンス
government,ガバメント
ガビアリス,ガビアリス
蝦蟇蛙,ガマガエル
蒲筵,ガマムシロ
ガーヤトリー,ガヤトリー
柄合わせ,ガラアワセ
柄違い,ガラチガイ
がらっぱち,ガラッパチ
ガラツキー,ガラツキー
ガランサス,ガランサス
がらんどう,ガランドウ
ギャリオット,ガリオット
ガリナルム,ガリナルム
ガルオーク,ガルオーク
ガルデニヤ,ガルデニア
ガルバンソ,ガルバンソ
ガルベル・ダ,ガルベルダ
ガルマンニ,ガルマンニ
ガルリヌラ,ガルリヌラ
側章,ガワショウ
側扉,ガワトビラ
側柱,ガワバシラ
眼球,ガンキュウ
願経,ガンキョウ
願行,ガンギョウ
含羞,ガンシュウ
願生,ガンショウ
顔色,ガンショク
岩上,ガンジョウ
ガンダマー,ガンダマー
ガンダムズ,ガンダムズ
眼中,ガンチュウ
元朝,ガンチョウ
ガントリー,ガントリー
ガンナーズ,ガンナーズ
眼病,ガンビョウ
ガンビール,ガンビール
ガンブスィア,ガンブシア
願解き,ガンホドキ
ガンボージ,ガンボージ
岩脈,ガンミャク
雁擬き,ガンモドキ
岩流,ガンリュウ
顔料,ガンリョウ
ガーゴイル,ガーゴイル
ガーディー,ガーディー
ガーデナー,ガーデナー
ガーデニア,ガーデニア
ガーネット,ガーネット
ガーベッジ,ガーベッジ
ガーメント,ガーメント
ガーランド,ガーランド
ガーリック,ガーリック
キアッケレ,キアッケレ
競い肌,キオイハダ
聞き合わせ,キキアワセ
聞納め,キキオサメ
聴き覚え,キキオボエ
聞き返し,キキカエシ
聞き齧り,キキカジリ
聞き言葉,キキコトバ
聞き心地,キキゴコチ
聴き応え,キキゴタエ
聞き違い,キキチガイ
聞き違え,キキチガエ
聞伝え,キキヅタエ
聞き届け,キキトドケ
聴き処,キキドコロ
聞き流し,キキナガシ
聞き逃し,キキノガシ
聞き回り,キキマワリ
帰去来,キキョライ
聞き忘れ,キキワスレ
菊合わせ,キクアワセ
菊重ね,キクガサネ
菊頭,キクガシラ
菊御飯,キクゴハン
菊作り,キクヅクリ
菊畑,キクバタケ
菊日和,キクビヨリ
菊枕,キクマクラ
キコリウム,キコリウム
私部,キサイチベ
后立ち,キサキダチ
后腹,キサキバラ
后町,キサキマチ
刮刷毛,キサゲバケ
キサナドゥ,キサナドゥ
キサンチン,キサンチン
キサンテン,キサンテン
キサンボン,キサンボン
刻み足,キザミアシ
刻み肉,キザミニク
刻み葱,キザミネギ
刻み海苔,キザミノリ
岸躑躅,キシツツジ
岸ほとり,キシホトリ
軋み音,キシミオン
キシラジン,キシラジン
キシリジド,キシリジド
キシリジン,キシリジン
キシリット,キシリット
キシロース,キシロース
キシロール,キシロール
雉隠し,キジカクシ
キスネビツ,キスネビツ
キスメット,キスメット
キスリング,キスリング
傷隠し,キズカクシ
傷薬,キズグスリ
疵咎め,キズトガメ
競い馬,キソイウマ
競い狩り,キソイガリ
北あかり,キタアカリ
北狐,キタキツネ
北溜まり,キタダマリ
北隣り,キタトナリ
北隣り,キタドナリ
北訛り,キタナマリ
北の方,キタノカタ
北の丸,キタノマル
キタヒカリ,キタヒカリ
北枕,キタマクラ
北廻り,キタマワリ
キタローネ,キタローネ
吉羊,キチジョウ
鞠躬,キッキュウ
喫驚,キッキョウ
キッキング,キッキング
キックオフ,キックオフ
喫食,キッショク
吉兆,キッチョウ
切手牛,キッテウシ
狐色,キツネイロ
狐顔,キツネガオ
狐神,キツネガミ
狐狩り,キツネガリ
狐拳,キツネケン
狐下,キツネサゲ
狐猿,キツネザル
狐汁,キツネジル
狐蕎麦,キツネソバ
狐族,キツネゾク
狐憑き,キツネツキ
狐道,キツネミチ
狐面,キツネメン
狐森,キツネモリ
気慰み,キナグサミ
黄な粉餅,キナコモチ
キナゾリン,キナゾリン
キナゾロン,キナゾロン
キナプリル,キナプリル
キナルホス,キナルホス
衣被ぎ,キヌカツギ
絹絣,キヌガスリ
絹畳,キヌタタミ
絹縮み,キヌチヂミ
キヌヒカリ,キヌヒカリ
絹篩,キヌブルイ
杵頭,キネガシラ
キネダック,キネダック
キネトコア,キネトコア
甲戌,キノエイヌ
甲午,キノエウマ
甲申,キノエサル
甲辰,キノエタツ
甲寅,キノエトラ
柝の頭,キノカシラ
乙丑,キノトウシ
乙酉,キノトトリ
キノホルム,キノホルム
氣の病,キノヤマイ
キノリノン,キノリノン
黄蘗色,キハダイロ
黄浜菅,キハマスゲ
気働き,キバタラキ
キビ畑,キビバタケ
決まり側,キマリガワ
決まり事,キマリゴト
決まりネタ,キマリネタ
キムチーズ,キムチーズ
キムリック,キムリック
決め言葉,キメコトバ
決め台詞,キメゼリフ
決め所,キメドコロ
胆試し,キモダメシ
胆玉,キモッタマ
キモプシン,キモプシン
客足,キャクアシ
客入り,キャクイリ
客入れ,キャクイレ
脚韻,キャクイン
客受け,キャクウケ
客演,キャクエン
客方,キャクカタ
客側,キャクガワ
脚筋,キャクキン
客先,キャクサキ
格式,キャクシキ
脚質,キャクシツ
客車,キャクシャ
客人,キャクジン
脚数,キャクスウ
客筋,キャクスジ
客好き,キャクズキ
客擦れ,キャクズレ
客席,キャクセキ
脚線,キャクセン
客膳,キャクゼン
客窓,キャクソウ
客体,キャクタイ
脚台,キャクダイ
客種,キャクダネ
脚痛,キャクツウ
客電,キャクデン
客止め,キャクドメ
客波,キャクナミ
脚肉,キャクニク
客引き,キャクヒキ
客触れ,キャクブレ
客分,キャクブン
脚本,キャクホン
客待ち,キャクマチ
客宿,キャクヤド
客遊,キャクユウ
客用,キャクヨウ
客寄せ,キャクヨセ
客来,キャクライ
キャシーズ,キャシーズ
キャスター,キャスター
客觀,キャッカン
脚光,キャッコウ
キャッサバ,キャッサバ
CASH,キャッシュ
castle,キャッスル
キャップド,キャップド
キャディー,キャディー
キャニヨン,キャニオン
キャノピー,キャノピー
キャノーラ,キャノーラ
キャバクラ,キャバクラ
キャバ犬,キャバケン
キヤバレー,キャバレー
キャバーブ,キャバーブ
キャビアエ,キャビアエ
capital,キャピタル
CAPIC,キャピック
キャピトル,キャピトル
キャブコン,キャブコン
キャプシド,キャプシド
キャプタン,キャプタン
キャプター,キャプター
CAPTAIN,キャプテン
キャベジン,キャベジン
キャベ千,キャベセン
キャム.ケェー,キャムケー
キャラソン,キャラソン
キャラデザ,キャラデザ
キャラヴァン,キャラバン
キャラホビ,キャラホビ
キャラミヤ,キャラミヤ
キヤラメル,キャラメル
キャリッジ,キャリッジ
キャリバー,キャリバー
キャリパー,キャリパー
キャレット,キャレット
キャロッツ,キャロット
キャンカー,キャンカー
cancer,キャンサー
Cancel,キャンセル
キャンティ,キャンティ
キヤンデー,キャンデー
キャンドルズ,キャンドル
Canvas,キャンバス
キヤンバー,キャンバー
キャンパス,キャンパス
キャンパブ,キャンパブ
キャンパー,キャンパー
キャンベル,キャンベル
キュアネア,キュアネア
求愛,キュウアイ
旧悪,キュウアク
弓圧,キュウアツ
求安,キュウアン
救育,キュウイク
吸飲,キュウイン
旧詠,キュウエイ
給液,キュウエキ
球宴,キュウエン
救応,キュウオウ
球音,キュウオン
球界,キュウカイ
球殼,キュウカク
裘褐,キュウカツ
旧株,キュウカブ
旧カリ,キュウカリ
級間,キュウカン
臼蓋,キュウガイ
旧顔,キュウガオ
給額,キュウガク
旧型,キュウガタ
鳩居,キュウキョ
給金,キュウキン
休銀,キュウギン
旧勲,キュウクン
旧軍,キュウグン
球茎,キュウケイ
給血,キュウケツ
旧券,キュウケン
旧劇,キュウゲキ
給源,キュウゲン
躬行,キュウコウ
旧国,キュウコク
球根,キュウコン
鳩鴿,キュウゴウ
窮際,キュウサイ
窮策,キュウサク
糾察,キュウサツ
急霰,キュウサン
急坂,キュウザカ
旧識,キュウシキ
給湿,キュウシツ
鳩舎,キュウシャ
鳩首,キュウシュ
急所,キュウショ
鳩信,キュウシン
鼽衄,キュウジク
旧日,キュウジツ
久寿,キュウジュ
救助,キュウジョ
求人,キュウジン
給水,キュウスイ
級数,キュウスウ
舊政,キュウセイ
求積,キュウセキ
急設,キュウセツ
旧線,キュウセン
給送,キュウソウ
球速,キュウソク
旧村,キュウソン
旧蔵,キュウゾウ
旧族,キュウゾク
球体,キュウタイ
旧宅,キュウタク
給炭,キュウタン
旧代,キュウダイ
給弾,キュウダン
旧著,キュウチョ
窮追,キュウツイ
旧邸,キュウテイ
旧敵,キュウテキ
吸啜,キュウテツ
灸点,キュウテン
給電,キュウデン
給湯,キュウトウ
給特,キュウトク
球道,キュウドウ
救難,キュウナン
旧任,キュウニン
急熱,キュウネツ
旧年,キュウネン
救農,キュウノウ
給配,キュウハイ
窮迫,キュウハク
窮髮,キュウハツ
旧藩,キュウハン
旧幕,キュウバク
吸盤,キュウバン
休筆,キュウヒツ
旧品,キュウヒン
給引き,キュウビキ
急便,キュウビン
糾紛,キュウフン
旧物,キュウブツ
旧聞,キュウブン
旧弊,キュウヘイ
窮僻,キュウヘキ
糺返,キュウヘン
級別,キュウベツ
臼砲,キュウホウ
旧本,キュウホン
窮乏,キュウボウ
朽木,キュウボク
旧盆,キュウボン
給米,キュウマイ
吸蜜,キュウミツ
窮民,キュウミン
糾明,キュウメイ
給免,キュウメン
給物,キュウモツ
糾問,キュウモン
旧訳,キュウヤク
級友,キュウユウ
給養,キュウヨウ
旧来,キュウライ
急落,キュウラク
級欄,キュウラン
旧例,キュウレイ
球歴,キュウレキ
旧陋,キュウロウ
給禄,キュウロク
旧論,キュウロン
キュニコス,キュニコス
キュノドン,キュノドン
cubit,キュビット
キュベレイ,キュベレイ
キュリウム,キュリウム
キュレゲン,キュレゲン
キュロット,キュロット
キユムメル,キュンメル
QS,キューエス
QL,キューエル
キューカス,キューカス
QC,キューシー
QB,キュービー
クーポラ,キューポラ
狭隘,キョウアイ
今日明日,キョウアス
強圧,キョウアツ
教案,キョウアン
狭域,キョウイキ
教育,キョウイク
竅陰,キョウイン
強運,キョウウン
郷営,キョウエイ
共益,キョウエキ
恭悦,キョウエツ
饗宴,キョウエン
胸奥,キョウオウ
胸臆,キョウオク
香落,キョウオチ
響音,キョウオン
響会,キョウカイ
胸郭,キョウカク
恐喝,キョウカツ
鏡鑑,キョウカン
橋街,キョウガイ
驚愕,キョウガク
京方,キョウガタ
京釜,キョウガマ
凶眼,キョウガン
郷挙,キョウキョ
頰筋,キョウキン
教訓,キョウクン
境遇,キョウグウ
鏡群,キョウグン
恭敬,キョウケイ
竅穴,キョウケツ
鏡検,キョウケン
驕激,キョウゲキ
狂言,キョウゲン
響孔,キョウコウ
郷国,キョウコク
胸骨,キョウコツ
恐婚,キョウコン
驕傲,キョウゴウ
教採,キョウサイ
警策,キョウサク
強擦,キョウサツ
強酸,キョウサン
教材,キョウザイ
夾雑,キョウザツ
興醒め,キョウザメ
胸式,キョウシキ
狂疾,キョウシツ
驕奢,キョウシャ
興趣,キョウシュ
競書,キョウショ
驕心,キョウシン
橋軸,キョウジク
嚮日,キョウジツ
教授,キョウジュ
狂女,キョウジョ
郷人,キョウジン
胸水,キョウスイ
凶数,キョウスウ
胸髄,キョウズイ
驚声,キョウセイ
共析,キョウセキ
教説,キョウセツ
饗饌,キョウセン
頰舌,キョウゼツ
饗膳,キョウゼン
競走,キョウソウ
驚速,キョウソク
鏡像,キョウゾウ
強族,キョウゾク
京染め,キョウゾメ
共存,キョウゾン
筺体,キョウタイ
教卓,キョウタク
驚歎,キョウタン
鏡台,キョウダイ
教壇,キョウダン
夾竹,キョウチク
共著,キョウチョ
共沈,キョウチン
胸椎,キョウツイ
胸痛,キョウツウ
経塚,キョウヅカ
経筒,キョウヅツ
胸底,キョウテイ
驕敵,キョウテキ
驚天,キョウテン
敬田,キョウデン
驚濤,キョウトウ
鏡銅,キョウドウ
強毒,キョウドク
胸内,キョウナイ
京茄子,キョウナス
橋南,キョウナン
杏仁,キョウニン
京繍,キョウヌイ
狂熱,キョウネツ
狂念,キョウネン
鏡背,キョウハイ
脅迫,キョウハク
橋畔,キョウハン
競買,キョウバイ
経箱,キョウバコ
共罰,キョウバツ
京人,キョウヒト
京雛,キョウビナ
驚風,キョウフウ
胸腹,キョウフク
共沸,キョウフツ
境物,キョウブツ
狂文,キョウブン
驕兵,キョウヘイ
胸壁,キョウヘキ
鏡片,キョウヘン
恐米,キョウベイ
教鞭,キョウベン
教法,キョウホウ
橋北,キョウホク
経本,キョウホン
矯餝,キョウボウ
梟木,キョウボク
供米,キョウマイ
鞏膜,キョウマク
京枡,キョウマス
驕慢,キョウマン
京道,キョウミチ
教民,キョウミン
橋名,キョウメイ
鏡面,キョウメン
強猛,キョウモウ
經文,キョウモン
京焼き,キョウヤキ
協約,キョウヤク
郷友,キョウユウ
教養,キョウヨウ
経読み,キョウヨミ
競落,キョウラク
驚瀾,キョウラン
強力,キョウリキ
協立,キョウリツ
郷閭,キョウリョ
杏林,キョウリン
教令,キョウレイ
狂恋,キョウレン
拱廊,キョウロウ
経論,キョウロン
供賄,キョウワイ
狂惑,キョウワク
強弯,キョウワン
虚憍,キョキョウ
巨牛,キョギュウ
虚業,キョギョウ
極域,キョクイキ
局員,キョクイン
曲打ち,キョクウチ
極核,キョクカク
曲間,キョクカン
局外,キョクガイ
曲学,キョクガク
局側,キョクガワ
棘筋,キョクキン
曲芸,キョクゲイ
局激,キョクゲキ
極限,キョクゲン
局在,キョクザイ
曲射,キョクシャ
曲趣,キョクシュ
極所,キョクショ
旭日,キョクジツ
極衰,キョクスイ
極数,キョクスウ
極盛,キョクセイ
跼蹐,キョクセキ
曲説,キョクセツ
曲線,キョクセン
極相,キョクソウ
極則,キョクソク
極体,キョクタイ
極端,キョクタン
極大,キョクダイ
跼天,キョクテン
極東,キョクトウ
局留め,キョクドメ
曲取り,キョクドリ
局内,キョクナイ
極年,キョクネン
曲乗り,キョクノリ
極板,キョクバン
曲筆,キョクヒツ
曲弾き,キョクビキ
局方,キョクホウ
極北,キョクホク
局待ち,キョクマチ
曲名,キョクメイ
曲面,キョクメン
曲目,キョクモク
極洋,キョクヨウ
曲率,キョクリツ
曲禮,キョクレイ
曲練,キョクレン
極論,キョクロン
醵集,キョシュウ
醵出,キョシュツ
去春,キョシュン
裾礁,キョショウ
虚飾,キョショク
虚弱,キョジャク
据銃,キョジュウ
許状,キョジョウ
居中,キョチュウ
曲解,キョッカイ
極諫,キョッカン
極刑,キョッケイ
極圏,キョッケン
極高,キョッコウ
巨乳,キョニュウ
許認可,キョニンカ
巨龍,キョリュウ
虚領,キョリョウ
キョンシー,キョンシー
キヨニシキ,キヨニシキ
清め塩,キヨメジオ
清め拭き,キヨメブキ
キラウコロ,キラウコロ
雲母膏,キララコウ
金瘡小草,キランソウ
斬りあがり,キリアガリ
切り惜しみ,キリオシミ
切返し,キリカエシ
切り禿,キリカブロ
切り替わり,キリカワリ
霧隠れ,キリガクレ
螽斯,キリギリス
キリクサン,キリクサン
切り崩し,キリクズシ
鬼理至端,キリシタン
霧状,キリジョウ
桐印,キリジルシ
キリタンポ,キリタンポ
切り違い,キリチガイ
霧造り,キリヅクリ
切通し,キリドオシ
切り直し,キリナオシ
キリノイド,キリノイド
切り残し,キリノコシ
切り放し,キリハナシ
切離れ,キリハナレ
切り払い,キリハライ
桐畠,キリバタケ
桐一葉,キリヒトハ
切り開き,キリヒラキ
